"pronoun"	"verb"	"context"	"filename"
"20492"	"he"	"continued"	" ``We think it will be a bill that all can support,'' Judiciary Committee spokeswoman Jeanne Lopatto said. The committee plans to open hearings Thursday on the measure. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950425.0467 type=multi > <DATELINE>  (BC-PEOPLE-BRIEFS-NYT) </DATELINE> <TEXT> Ted Kennedy Jr. rarely talks about losing his right leg to cancer when he was 12, but Tuesday night he will speak at a benefit for a new organization called Cancer Cured Kids.   ``This organization is trying to raise awareness of the problems of social isolation children feel when they are treated and then try to integrate themselves back into their previous lives,'' Kennedy said, explaining why he had agreed to speak at the event at Tavern on the Green in Manhattan.   ``People have all sorts of misconceptions about disability and disease,'' he said. ``There is so much emphasis placed on medical treatment and not a whole lot on emotional rehabilitation.''   Having cancer can be a very isolating experience, he continued, explaining, ``You feel like you're the only one going through this.''   ``I was very lucky to have my family, but it was difficult going back to school and dealing with having people stare at me with my one leg,'' he said. ``Children can be very insensitive in the things they say.''   Kennedy, 33, is now director of the New Haven Lead Safe Home and Community Health Project as well as an associate research scientist at Yale Medical School and a night student at the University of Connecticut Law School. ``And I am married and have a new daughter, Kiley Elizabeth, so I'm a pretty busy guy,'' he said.   c.1995 N.Y. Times News Service   Oops: Gov. William Weld of Massachusetts, a rising star in the Republican Party, was given a ticket for speeding Sunday afternoon on Interstate 84 in New York, The Boston Globe reported Tuesday.   The governor was returning from a vacation in Virginia when he was stopped for going 74 miles per hour in a 55-mile-per-hour zone.   ``I was driving along, had a couple of kids in the car and just was not paying attention,'' he told reporters Monday. ``I think speeding is serious business and I should have been paying more attention.'' A court will determine the fine, which could be up to $200.   Perhaps Weld should consider going elsewhere on trips. The Boston Globe reported that in the early 1980s when he was a federal prosecutor, he attended a wedding in Virginia and was accused of smoking marijuana there. A Justice Department investigation cleared him of the charges.   More recently, he was visiting in the state when a mistake on his income tax return was discovered. And last year, he said he was attacked by a snapping turtle there.   c.1995 N.Y. Times News Service   Dizzy Gillespie's famous bent bell trumpet (bent when a party guest tripped over it) fetched $63,000 at auction at Christie's East on Tuesday.   The buyer, Jeffrey M. Brown, a builder who lives in Manhattan and Philadelphia, said he bought it because he is a lifelong admirer of the musician. A drummer (for fun only) himself, he said: ``I have a great interest in jazz, and this particular trumpet is sort of a symbol of jazz history that can't be duplicated. I will keep it in my apartment in New York -- and I might even try to play it.''   Other instruments owned by renowned musicians were sold, too. Coleman Hawkins' tenor saxophone brought $19,550 and Dexter Gordon's soprano sax went for $10,925. But a guitar owned by Elvis Presley was withdrawn because no one bid high enough.  </TEXT> </DOC> <DOC id=NYT_ENG_19950425.0469 type=story > <DATELINE> LOS ANGELES  (BC-LACTER-COLUMN-LADN) </DATELINE> <TEXT> "	"nyt_eng_199504.gz"
"20507"	"he"	"continued"	" Also suppose, he continued, that the cost of a trial and subsequent appeals would amount to $25 million and would probably force the prosecutors to drop several other cases. </P> "	"nyt_eng_199504.gz"
"21697"	"he"	"continued"	" For that reason, he continued, it was important to reinforce the museum's urban environment so that both visitors and local residents feel comfortable with its strong visual presence. So while its public face looks out to a monumental plaza, its private face is turned toward a shaded garden and a 17th-century convent that now houses the new Contemporary Culture Center. </P> "	"nyt_eng_199505.gz"
"23008"	"she"	"continued"	" Good questions, no easy answers. That's what happens at the crossroads. It's time now for Grunfeld to, as they say, step up. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950523.0430 type=multi > <DATELINE>  (BC-PEOPLE-BRIEFS-NYT) </DATELINE> <TEXT> (ATTN: N.Y.) AT TOBY PERLMAN'S SUMMER MUSIC CAMP, HAVING FUN WILL BE MANDATORY WHISTLER'S MOTHER WAS A COOK AS WELL AS A ROCKER (ll) By  c.1995 N.Y. Times News Service  NEW YORK _ Itzhak Perlman sat at the back of his living room Monday evening to listen to some gifted young violinists, cellists and pianists, and neither he nor the audience seemed to mind that he was not playing.  The occasion was a sneak preview for friends and supporters of Hamptons Summer Music, a study program being established by Toby Perlman, Perlman's wife. Thirty students from 11 to 18 will attend the first session, from Aug. 12 to Aug. 26, at Boys Harbor in East Hampton, N.Y.  Several of them performed before a dessert and coffee reception.  Though they will have plenty of music lessons and will be introduced to chamber music performance, Mrs. Perlman explained that she is determined to give the young people a dose of normal camp life.  ``There will be time for swimming and hanging out, and there will be enforced recreation,'' she said.  The idea, she continued, ``came from my own experiences as a struggling violin student and my husband's experiences as a struggling genius.''  ``The easiest part of being a musician is playing the concert,'' she said. ``We want to approach the human issues, to talk about all the stuff that people are afraid of talking about, such as stage fright. Everyone is scared when they walk on stage, even stage animals.''  What Hamptons Summer Music won't have, she said, is Hamptons glamour.  ``We're not getting lots of famous people to give master classes,'' she said. ``At least the first summer, we don't want any glitz. If my husband does something, no one will know about it.''  c.1995 N.Y. Times News Service  Think Whistler's mother did nothing but sit around in that chair all day?  It turns out that she was quite a formidable cook, and Tuesday, her recipes for muffins and pastries were whipped up for a breakfast to preview ``James McNeill Whistler,'' an exhibition that opens at the National Gallery of Art in Washington on Sunday.  The recipes came from a book with the unsurprising title, ``Whistler's Mother's Cookbook,'' published by Pomegranate Artbooks.  It was edited by Margaret MacDonald, a curator of the show and a co-author of its catalogue.  Mrs. MacDonald, a research fellow at the Center for Whistler Studies at the University of Glasgow in Scotland, used Anna Whistler's handwritten recipes for the book, as well more than 6,000 letters written between mother and son in the university's collection.  Revising the recipes, which include ``collard eels'' and ``federal pudding,'' for the modern kitchen was no easy task, she said at the breakfast, because in some cases Mrs. Whistler had written down only the most rudimentary instruction, as in ``bake.''  ``When I started doing the book, I didn't have much sympathy for Whistler's mother,'' Mrs. MacDonald said. ``Now, I'm 50, and I sympathize. What put me off at first about Anna Whistler was that she was very religious, and everything for her was just God's will. But I realized that under the praying was such deep love and adoration for her son.'' </TEXT> </DOC> <DOC id=NYT_ENG_19950523.0431 type=story > <HEADLINE> ETHICS COMMITTEE REVIEWS PACKWOOD CHARGES </HEADLINE> <DATELINE> WASHINGTON (BC-PACKWOOD-ETHICS-500&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199505.gz"
"24189"	"he"	"continued"	" What is not considered, he continued, is that each day of maternity care in a New Jersey hospital costs about $1,000 and that insurance contracts with hospitals would have to be renegotiated if the new legislation encouraged women to extend hospital stays beyond what is medically necessary, a process that could lead to higher premiums for consumers. </P> "	"nyt_eng_199506.gz"
"24553"	"he"	"continued"	" As a rule, he continued, in instances in which a person has been raped and then reclothed by the assailant, the clothing is usually put on hastily and haphazardly. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950608.0620 type=story > <HEADLINE> REBEL WITH A CAUSE _ TO SUCCEED </HEADLINE> <DATELINE>  (BC-HARLAN-PROFILE_SFCHRON) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
"25791"	"she"	"continued"	" Speaking for the United States, she continued, ``from our perspective, things have gotten worse rather than better in the biological weapons area.'' </P> "	"nyt_eng_199506.gz"
"26165"	"I"	"continued"	" That being the case, I continued, the question must be whether Iliescu will have the ability to translate his vision into reality. </P> "	"nyt_eng_199506.gz"
"26183"	"she"	"continued"	" ``The teacher said he needed more money,'' Ms. Bluestein said. At that point, she continued, Namen began to feel he had done something wrong, and on June 16 he reported the matter to a safety officer at Jamaica High School. </P> "	"nyt_eng_199506.gz"
"26299"	"he"	"continued"	" Yet, he continued, those countries ``do not consider it necessary to use a device like our Fifth Amendment, under which an accused person may not be required to testify.'' </P> "	"nyt_eng_199506.gz"
